Time/s,Azimuth/deg,Zenith/deg
1,268.99,37.838
2,269,40.825
3,269,43.581
4,269,46.152
5,267.82,37.84
6,267.77,40.825
7,267.72,43.58
8,267.67,46.15
9,266.65,37.845
10,266.54,40.826
11,266.44,43.578
12,266.34,46.145
13,265.48,37.852
14,265.31,40.828
15,265.15,43.576
16,265.01,46.139
17,264.31,37.861
18,264.08,40.831
19,263.87,43.573
20,263.68,46.131
21,263.15,37.873
22,262.85,40.834
23,262.59,43.569
24,262.35,46.121
25,261.98,37.887
26,261.62,40.839
27,261.31,43.565
28,261.02,46.109
29,260.81,37.904
30,260.39,40.844
31,260.03,43.56
32,259.7,46.096
33,259.63,37.923
34,259.16,40.85
35,258.75,43.555
36,258.37,46.08
37,258.46,37.945
38,257.93,40.857
39,257.47,43.549
40,257.04,46.063
41,257.29,37.969
42,256.71,40.864
43,256.18,43.542
44,255.71,46.044
45,256.12,37.995
46,255.48,40.873
47,254.9,43.535
48,254.39,46.024
49,254.95,38.024
50,254.25,40.882
51,253.62,43.528
52,253.06,46.001
53,253.77,38.055
54,253.02,40.892
55,252.34,43.519
56,251.73,45.977
57,252.6,38.088
58,251.78,40.903
59,251.06,43.511
60,250.41,45.951
61,251.42,38.124
62,250.55,40.914
63,249.78,43.501
64,249.08,45.923
65,250.24,38.161
66,249.32,40.926
67,248.5,43.492
68,247.76,45.894
69,249.07,38.202
70,248.09,40.94
71,247.22,43.481
72,246.43,45.862
73,247.89,38.244
74,246.86,40.953
75,245.94,43.47
76,245.11,45.83
77,246.71,38.288
78,245.63,40.968
79,244.66,43.459
80,243.79,45.795
81,245.53,38.335
82,244.4,40.983
83,243.39,43.447
84,242.46,45.759
85,244.34,38.384
86,243.16,40.999
87,242.11,43.434
88,241.14,45.721
89,243.16,38.434
90,241.93,41.016
91,240.83,43.421
92,239.82,45.681
93,241.97,38.487
94,240.7,41.034
95,239.55,43.408
96,238.5,45.64
97,240.79,38.542
98,239.46,41.052
99,238.27,43.394
100,237.18,45.597
101,239.6,38.599
102,238.23,41.071
103,237,43.379
104,235.86,45.552
105,238.41,38.658
106,237,41.09
107,235.72,43.364
108,234.55,45.506
109,237.22,38.719
110,235.76,41.111
111,234.44,43.349
112,233.23,45.458
113,236.03,38.781
114,234.53,41.131
115,233.17,43.333
116,231.91,45.409
117,234.83,38.846
118,233.29,41.153
119,231.89,43.317
120,230.6,45.358
121,233.64,38.912
122,232.05,41.175
123,230.61,43.3
124,229.29,45.306
125,232.44,38.98
126,230.82,41.198
127,229.34,43.282
128,227.97,45.252
129,231.24,39.049
130,229.58,41.222
131,228.06,43.265
132,226.66,45.197
133,230.04,39.121
134,228.34,41.246
135,226.79,43.246
136,225.35,45.141
137,228.84,39.194
138,227.1,41.271
139,225.52,43.228
140,224.04,45.083
141,227.63,39.268
142,225.86,41.296
143,224.24,43.209
144,222.74,45.023
145,226.43,39.344
146,224.63,41.322
147,222.97,43.19
148,221.43,44.963
149,225.22,39.422
150,223.39,41.348
151,221.7,43.17
152,220.12,44.901
153,224.01,39.501
154,222.14,41.375
155,220.42,43.15
156,218.82,44.837
157,222.79,39.581
158,220.9,41.403
159,219.15,43.129
160,217.52,44.773
161,221.58,39.662
162,219.66,41.431
163,217.88,43.108
164,216.21,44.707
165,220.36,39.745
166,218.42,41.459
167,216.61,43.087
168,214.91,44.64
169,219.15,39.83
170,217.18,41.488
171,215.34,43.066
172,213.61,44.571
173,217.93,39.915
174,215.93,41.518
175,214.07,43.044
176,212.32,44.502
177,216.7,40.001
178,214.69,41.548
179,212.8,43.022
180,211.02,44.431
181,215.48,40.089
182,213.44,41.578
183,211.53,43
